id,st_name,oneway,geometry,speed_lim,frc,length_m,tot_inj_sum,crash_count,pred_crash,bikeway_type,bikelane_id
575,GLEN LYTLE,B,"LINESTRING (-79.9387492726531 40.41987981570093, -79.93875916875203 40.419880315567475, -79.93876991790899 40.41987942454711, -79.93877976947498 40.41987855143296, -79.93878959878876 40.419876992278525, -79.93879940584999 40.41987474708399, -79.93880919068754 40.41987181674949, -79.9388189532136 40.41986819857423, -79.93882602408696 40.41986463229775, -79.9388330493059 40.41985969486479, -79.93883917684602 40.41985477263807, -79.9388443845716 40.4198491831796, -79.938849592238 40.41984359192028, -79.93885479993273 40.41983800156106, -79.93885816791203 40.41983107403816, -79.93886155808501 40.4198248307538, -79.93886402841481 40.419817919337866, -79.93886562340722 40.41981171186901, -79.93886717383539 40.41980413052078, -79.93886695130779 40.419797270127326, -79.93886672880943 40.419790410634036, -79.93886560863427 40.419783566347725, -79.93886359087006 40.41977673996917, -79.93886067548792 40.419769930598065, -79.93885688476995 40.41976382517397, -79.93885309399428 40.41975771794918, -79.9388484056596 40.41975162953214, -79.93884284190185 40.41974624236107, -79.93883727817416 40.41974085609005, -79.93883083908187 40.419736172865306, -79.93882350237268 40.41973150664738, -79.9388161867387 40.41972752649078, -79.9388079969472 40.41972425025808, -79.93879980709804 40.419720972224155, -79.93879163953086 40.4197183811293, -79.93878259662772 40.4197164939805, -79.93877357594774 40.41971529197007, -79.93876457751975 40.41971477599823, -79.93875557909182 40.41971426002576)",15,4,30.0513581979518,0.0,0.0,0.057949309688705354,None,
576,GLEN LYTLE,B,"LINESTRING (-79.9387492726531 40.41987981570093, -79.9387393765835 40.419879316733756, -79.93872856064294 40.4198781487328, -79.93871862007119 40.41987627768518, -79.93870955489781 40.419873704491344, -79.93869956979589 40.41987046046295, -79.93868772276109 40.41986519412851, -79.93868040826938 40.41986121304068, -79.93867396917649 40.419856529807326, -79.93866753008453 40.41985184657359, -79.93866196636213 40.419846460294224, -79.93865638039003 40.41984038797516, -79.93865258968663 40.41983428254441, -79.93864879892547 40.41982817531298, -79.9386449859437 40.41982138294223, -79.93864296822989 40.41981455746023, -79.93864184807694 40.419807713171764, -79.93864072795344 40.41980086978357, -79.93864050547808 40.4197940102899, -79.93864118059217 40.419787132890214, -79.93864275329547 40.41978023758439, -79.93864522364602 40.41977332617302, -79.93864861389423 40.41976708469549, -79.93865200408337 40.41976084141724, -79.93865629194843 40.41975458293369, -79.93866149962312 40.41974899168276, -79.93866670732606 40.41974340133187, -79.93867283489695 40.41973848001426, -79.93867986008475 40.419733541690185, -79.93868690752251 40.41972928940505, -79.9386948748573 40.41972570705303, -79.93870284213287 40.41972212289984, -79.93871085393906 40.419719911725146, -79.93871976339155 40.41971768444388, -79.93872869506566 40.419716142301006, -79.93873764899075 40.419715286196826, -79.93874660291561 40.41971443009197, -79.93875557909182 40.41971426002576)",15,4,29.4281230417955,0.0,0.0,0.05792809240559112,None,
577,SCHENLEY,B,"LINESTRING (-79.93658487910469 40.44045353004244, -79.93649082462807 40.44037911372524, -79.93641057334978 40.44031473034455, -79.93629891831635 40.44025162931274, -79.93619379328153 40.44019595567847, -79.93616270922567 40.44017938318406, -79.93615525931864 40.440171286624974, -79.93615106746748 40.4401528306567, -79.93614957793407 40.44010686614132, -79.93615506144997 40.439943386267174, -79.93615858988125 40.439858197803595)",25,4,83.12788185293554,0.0,0.0,0.12421007452483633,None,
600,2ND,FT,"LINESTRING (-79.93787454970634 40.40016196824332, -79.93780201055588 40.40017478347683, -79.93772094680341 40.40015661166538, -79.93763068149558 40.40014084555124)",35,3,21.35464816953141,0.0,0.0,1.3925309543283564,Cautionary Bike Route,68.0
863,SWISSVALE,TF,"LINESTRING (-79.88973966463799 40.42907863863223, -79.8898440123367 40.42891332908706, -79.88985608044366 40.428897317217135, -79.88986817030263 40.42888199139357, -79.88993972455687 40.428787308861615, -79.89001040262012 40.42869332895948, -79.89002851556833 40.42866965505136, -79.89009914980792 40.42857430119711, -79.89016798841236 40.428478982357234, -79.89023774753525 40.42838433377119, -79.89031022022047 40.42829031951963, -79.89039000524862 40.42820028936018, -79.89047528532973 40.42811358959319, -79.89056608219104 40.428030905353886, -79.8906595285451 40.42794679994829)",25,3,148.44884887916032,0.0,0.0,0.7222257741084588,None,
911,BRADDOCK,B,"LINESTRING (-79.89388253326749 40.44886774955682, -79.89370390302622 40.4490996495771, -79.89352185511203 40.449337106068235, -79.89334068214293 40.449573859564595, -79.89326141970118 40.44967693312487)",35,3,104.17390627867417,0.0,0.0,1.4619718313143035,On Street Bike Route,115.0
952,MILLINGTON,B,"LINESTRING (-79.93505664140567 40.42187626788525, -79.93528037426945 40.42170557396959, -79.935471462765 40.421559862879576, -79.93572106896049 40.42136293003627, -79.9359442125293 40.42118091570837)",25,4,107.89125904014732,0.0,0.0,0.1260306102811491,None,
1076,AIKEN,B,"LINESTRING (-79.93797953990648 40.454894254730476, -79.93754723120269 40.454156343667236)",35,3,89.7801656318409,0.0,0.0,1.4496593233377775,On Street Bike Route,52.0
1096,FRIENDSHIP,B,"LINESTRING (-79.93239673639049 40.46067652932315, -79.9320601531375 40.460558902666065, -79.93188741587048 40.46049763742203)",25,4,47.55236992143781,0.0,0.0,0.12164059112711957,On Street Bike Route,135.0
1097,EAST LIBERTY,FT,"LINESTRING (-79.91579158268313 40.4602676283297, -79.91578335036273 40.46018748216543, -79.91576906946361 40.46007860389053, -79.91577097904026 40.45985821616416)",35,3,45.5553025085132,0.0,0.0,1.4124740472791015,Bike Lanes,127.0
1099,CORDAY,B,"LINESTRING (-79.94263891694831 40.45880026114649, -79.94257252238022 40.458765340866286, -79.94227630672053 40.458610327355665, -79.94209402637144 40.45853209682417)",25,4,55.03287787750419,0.0,0.0,0.12217642910596502,None,
