route_id,direction_id,stop_id,headway_mean
1,0,12595,1872.0
1,0,12596,1872.0
1,0,12597,1872.0
1,0,12601,1872.0
1,0,12602,1872.0
1,0,12603,1872.0
1,0,12604,1872.0
1,0,12605,1872.0
1,0,12606,1872.0
1,0,12608,1890.0
1,0,12610,1890.0
1,0,12613,1890.0
1,0,12616,1890.0
1,0,12617,1872.0
1,0,12618,1872.0
1,0,12619,1872.0
1,0,12634,1890.0
1,0,12658,1872.0
1,0,12659,1872.0
1,0,12660,1872.0
1,0,12661,1872.0
1,0,12760,1872.0
1,0,12761,1872.0
1,0,12763,1872.0
1,0,12764,1872.0
1,0,12765,1872.0
1,0,12766,1872.0
1,0,12767,1872.0
1,0,12768,1872.0
1,0,12769,1872.0
1,0,12770,1872.0
1,0,12771,1872.0
1,0,12772,1872.0
1,0,12773,1872.0
1,0,12774,1872.0
1,0,12775,1872.0
1,0,12776,1872.0
1,0,12777,1872.0
1,0,12782,1872.0
1,0,12784,1872.0
1,0,12785,1872.0
1,0,12786,1872.0
1,0,12787,1872.0
1,0,12788,1872.0
1,0,12790,1872.0
1,0,12791,1872.0
1,0,12792,1872.0
1,0,12793,1872.0
1,0,12794,1872.0
1,0,12796,1872.0
1,0,12797,1872.0
1,0,12798,1872.0
1,0,12799,1872.0
1,0,12801,1872.0
1,0,12802,1872.0
1,0,12803,1872.0
1,0,12804,1872.0
1,0,12805,1872.0
1,0,12806,1872.0
1,0,12807,1872.0
1,0,12808,1872.0
1,0,12809,1872.0
1,0,12813,1872.0
1,0,12814,1872.0
1,0,12815,1872.0
1,0,12817,1872.0
1,0,12818,1872.0
1,0,12819,1872.0
1,0,12820,1872.0
1,0,12826,1890.0
1,0,12830,1890.0
1,0,12833,1890.0
1,0,1407,1872.0
1,0,1408,1872.0
1,0,15263,1872.0
1,0,16595,1890.0
1,0,17656,1872.0
1,0,1796,1872.0
1,0,180,1872.0
1,0,18331,1872.0
1,0,18362,1872.0
1,0,19817,1872.0
1,0,19820,1872.0
1,0,20673,1872.0
1,0,20674,1872.0
1,0,20817,1890.0
1,0,2088,1872.0
1,0,2089,1872.0
1,0,2090,1872.0
1,0,213,1872.0
1,0,21331,1872.0
1,0,21337,1872.0
1,0,21338,1872.0
1,0,21339,1890.0
1,0,21340,1890.0
1,0,21341,1890.0
1,0,21344,1890.0
1,0,21345,1890.0
1,0,21361,1890.0
1,0,214,1872.0
1,0,215,1872.0
1,0,216,1872.0
1,0,21681,1890.0
1,0,22217,1872.0
1,0,22240,1872.0
1,0,22304,1872.0
1,0,22313,1890.0
1,0,2419,1872.0
1,0,2420,1872.0
1,0,3304,1872.0
1,0,3305,1872.0
1,0,3306,1872.0
1,0,3307,1872.0
1,0,3308,1872.0
1,0,3309,1872.0
1,0,9356,1872.0
1,1,12626,1824.0
1,1,12634,1800.0
1,1,12635,1799.6
1,1,12638,1798.8
1,1,12639,1798.4
1,1,12640,1797.8
1,1,12642,1796.4
1,1,12644,1794.4
1,1,12645,1793.8
1,1,12646,1793.8
1,1,12647,1793.4
1,1,12650,1792.4
1,1,12651,1791.8
1,1,12652,1791.8
1,1,12656,1790.6
1,1,12658,1788.0
1,1,12659,1788.0
1,1,12660,1788.0
1,1,12661,1788.0
1,1,12662,1788.0
1,1,12663,1788.0
1,1,12664,1788.0
1,1,12665,1788.0
1,1,12666,1788.0
1,1,12668,1788.0
1,1,12670,1788.0
1,1,12671,1788.0
1,1,12673,1788.0
1,1,12675,1788.0
1,1,12678,1788.0
1,1,12680,1800.0
1,1,12683,1800.0
1,1,12684,1836.0
1,1,12685,1836.0
1,1,12686,1836.0
1,1,12687,1836.0
1,1,12689,1836.0
1,1,12693,1836.0
1,1,12694,1836.0
1,1,12695,1836.0
1,1,12696,1836.0
1,1,12697,1836.0
1,1,12698,1836.0
1,1,12699,1836.0
1,1,12700,1845.0
1,1,12701,1845.0
1,1,12702,1845.0
1,1,12703,1845.0
1,1,12704,1845.0
1,1,12705,1845.0
1,1,12706,1845.0
1,1,12707,1845.0
1,1,12708,1845.0
1,1,12710,1845.0
1,1,12711,1845.0
1,1,12830,1800.0
1,1,15283,1818.6
1,1,15284,1814.8
1,1,15285,1811.4
1,1,16595,1800.0
1,1,16887,1836.0
1,1,17355,1836.0
1,1,17356,1836.0
1,1,175,1824.0
1,1,18337,1788.0
1,1,18339,1788.0
1,1,18341,1788.0
1,1,18342,1800.0
1,1,18348,1800.0
1,1,18349,1800.0
1,1,18354,1824.0
1,1,19822,1794.8
1,1,1997,1824.0
1,1,1998,1824.0
1,1,20674,1836.0
1,1,20781,1824.0
1,1,20817,1800.0
1,1,21328,1836.0
1,1,21329,1824.0
1,1,21330,1824.0
1,1,21344,1800.0
1,1,21362,1836.0
1,1,21680,1836.0
1,1,22169,1836.0
1,1,22177,1836.0
1,1,3173,1836.0
1,1,3174,1836.0
1,1,3175,1836.0
1,1,3177,1836.0
1,1,3178,1836.0
1,1,3179,1836.0
1,1,3180,1836.0
1,1,3183,1836.0
1,1,3185,1836.0
1,1,3186,1836.0
1,1,3187,1836.0
1,1,3188,1836.0
1,1,3189,1836.0
1,1,3190,1836.0
1,1,3191,1836.0
1,1,3192,1836.0
1,1,3195,1836.0
1,1,3196,1836.0
1,1,3197,1836.0
1,1,3198,1836.0
1,1,3203,1836.0
1,1,3204,1836.0
1,1,3205,1836.0
1,1,3206,1836.0
1,1,3207,1836.0
1,1,3208,1836.0
1,1,3210,1836.0
1,1,3369,1842.25
1,1,3370,1840.0
1,1,3371,1865.8
1,1,5560,1800.0
1,1,9329,1836.0
11,0,12626,1812.0
11,0,1407,1800.0
11,0,1408,1800.0
11,0,15283,1812.0
11,0,15284,1812.0
11,0,15285,1812.0
11,0,16898,1800.4
11,0,16899,1800.0
11,0,174,1811.4
11,0,175,1812.0
11,0,180,1800.0
11,0,18636,1800.0
11,0,18643,1800.0
11,0,19329,1800.0
11,0,19577,1800.0
11,0,213,1800.0
11,0,21329,1812.0
11,0,21330,1812.0
11,0,214,1800.0
11,0,215,1800.0
11,0,22893,1800.0
11,0,2596,1800.0
11,0,5560,1812.0
11,0,625,1809.6
11,0,626,1809.8
11,0,627,1810.4
11,0,833,1802.8
11,0,834,1803.4
11,0,835,1804.4
11,0,836,1805.0
11,0,837,1806.8
11,0,839,1808.0
11,0,840,1808.6
11,0,853,1810.8
11,0,873,1800.0
11,0,875,1800.0
11,0,944,1800.0
11,0,959,1800.0
11,0,960,1800.0
11,0,961,1800.0
11,0,963,1800.8
11,0,964,1801.0
11,0,965,1801.6
11,0,966,1802.0
11,0,967,1800.0
11,0,968,1800.0
11,0,969,1800.0
11,0,970,1800.0
11,0,971,1800.0
11,0,972,1800.0
11,0,973,1800.0
11,0,976,1800.0
11,0,977,1800.0
11,0,978,1800.0
11,0,979,1800.0
11,0,980,1800.0
11,0,981,1800.0
11,0,983,1800.0
11,0,984,1800.0
11,0,985,1800.0
11,0,986,1800.0
12,0,15587,2250.0
12,0,17389,2040.0
12,0,17587,2055.0
12,0,179,1980.0
12,0,180,1981.8
12,0,18681,2100.0
12,0,18689,2040.0
12,0,18690,2044.75
12,0,18691,2050.0
12,0,19843,2250.0
12,0,20437,2250.0
12,0,20727,2250.0
12,0,20728,2250.0
12,0,20830,2047.75
12,0,210,2250.0
12,0,213,1983.2
12,0,21350,2046.0
12,0,214,1985.8
12,0,21423,2250.0
12,0,21424,2250.0
12,0,21426,2250.0
12,0,21427,2250.0
12,0,215,1986.8
12,0,216,1988.6
12,0,217,2038.5
12,0,219,2040.0
12,0,220,2040.0
12,0,221,2040.0
12,0,222,2040.0
12,0,22320,2250.0
12,0,224,2040.0
12,0,225,2040.0
12,0,226,2040.0
12,0,22671,2250.0
12,0,227,2040.0
12,0,228,2040.0
12,0,22819,2055.0
12,0,22896,2055.75
12,0,229,2040.0
12,0,232,2040.0
12,0,234,2040.0
12,0,236,2041.25
12,0,237,2042.25
12,0,239,2043.5
12,0,240,2044.25
12,0,243,2046.25
12,0,244,2047.0
12,0,246,2049.0
12,0,248,2050.75
12,0,249,2055.0
12,0,258,2250.0
12,0,2596,1990.4
12,0,263,2250.0
12,0,289,2055.0
12,0,291,2055.0
12,0,292,2055.0
12,0,293,2055.0
12,0,318,2250.0
12,0,331,2250.0
12,0,333,2250.0
12,0,334,2250.0
12,1,122,1730.8333333333333
12,1,123,1731.1666666666667
12,1,124,1731.6666666666667
12,1,125,1732.3333333333333
12,1,127,1733.0
12,1,129,1721.6
12,1,134,1787.4
12,1,135,1788.2
12,1,136,1789.4
12,1,139,1791.0
12,1,150,1791.75
12,1,152,1794.0
12,1,153,1795.25
12,1,15352,1800.0
12,1,154,1796.5
12,1,15587,1716.0
12,1,158,1800.0
12,1,163,1800.0
12,1,164,1800.0
12,1,165,1800.0
12,1,166,1800.0
12,1,167,1800.0
12,1,169,1800.0
12,1,170,1800.0
12,1,171,1800.0
12,1,172,1800.0
12,1,17340,1787.6
12,1,174,1800.0
12,1,175,1980.0
12,1,17587,1800.0
12,1,176,1980.0
12,1,177,1980.0
12,1,178,1980.0
12,1,179,1980.0
12,1,18681,1722.8
12,1,18682,1800.0
12,1,18684,1790.0
12,1,18685,1790.4
12,1,18686,1792.75
12,1,19843,1725.4
12,1,19846,1800.0
12,1,19910,1727.6
12,1,200,1727.2
12,1,201,1726.8
12,1,202,1726.6
12,1,203,1726.2
12,1,20437,1728.0
12,1,205,1792.6
12,1,20727,1730.0
12,1,20728,1716.0
12,1,210,1728.0
12,1,21213,1797.25
12,1,21214,1798.25
12,1,21387,1728.0
12,1,21418,1800.0
12,1,22320,1716.0
12,1,22671,1727.4
12,1,22895,1728.0
12,1,318,1716.0
12,1,322,1716.0
12,1,323,1716.0
12,1,325,1716.0
12,1,853,1800.0
13,0,1007,1198.142857142857
13,0,1008,1197.5714285714287
13,0,1009,1197.142857142857
13,0,1010,1196.2857142857142
13,0,1011,1195.2857142857142
13,0,1273,1200.0
13,0,1274,1200.0
13,0,1275,1200.0
13,0,1277,1200.0
13,0,1278,1200.0
13,0,1279,1200.0
13,0,1280,1200.0
13,0,1281,1200.0
13,0,1288,1200.0
13,0,1289,1199.4285714285713
13,0,1290,1199.142857142857
13,0,1291,1198.7142857142858
13,0,1419,1200.0
13,0,1587,1200.0
13,0,1589,1200.0
13,0,1590,1200.0
13,0,1591,1200.0
13,0,1592,1200.0
13,0,1593,1200.0
13,0,1624,1200.0
13,0,1625,1200.0
13,0,1626,1200.0
13,0,1628,1200.0
13,0,16529,1193.0
13,0,1880,1200.0
13,0,1882,1200.0
13,0,1883,1200.0
13,0,1884,1200.0
13,0,1939,1200.0
13,0,1940,1200.0
13,0,1945,1200.0
13,0,1949,1200.0
13,0,1950,1200.0
13,0,19514,1200.0
13,0,1952,1200.0
13,0,1953,1200.0
13,0,1954,1200.0
13,0,19563,1200.0
13,0,19564,1200.0
13,0,19752,1200.0
13,0,19753,1200.0
13,0,19754,1200.0
13,0,19755,1200.0
13,0,20182,1200.0
13,0,214,1200.0
13,0,21433,1200.0
13,0,21442,1200.0
13,0,21443,1200.0
13,0,21444,1200.0
13,0,215,1200.0
13,0,22300,1200.0
13,0,22625,1200.0
13,0,22636,1200.0
13,0,22670,1200.0
13,0,22894,1200.0
13,0,3162,1200.0
13,0,3163,1200.0
13,0,3164,1200.0
13,0,3165,1200.0
13,0,3166,1200.0
13,0,3167,1191.4285714285713
13,0,617,1194.857142857143
13,0,618,1194.4285714285713
13,0,619,1192.5714285714287
13,0,620,1191.4285714285713
13,0,623,1200.0
13,0,624,1200.0
13,1,1013,1354.2857142857142
13,1,1015,1354.2857142857142
13,1,1016,1354.2857142857142
13,1,1018,1354.2857142857142
13,1,1019,1354.2857142857142
13,1,1271,1354.2857142857142
13,1,1301,1354.2857142857142
13,1,1302,1354.2857142857142
13,1,1303,1354.2857142857142
13,1,1304,1354.2857142857142
13,1,1306,1354.2857142857142
13,1,1309,1354.2857142857142
13,1,1310,1354.2857142857142
13,1,1311,1354.2857142857142
13,1,1312,1354.2857142857142
13,1,1313,1354.2857142857142
13,1,1314,1354.2857142857142
13,1,1317,1354.2857142857142
13,1,1395,1210.857142857143
13,1,1518,1352.2857142857142
13,1,1519,1351.2857142857142
13,1,1549,1208.5714285714287
13,1,1550,1208.5714285714287
