route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,0,55,13635020,12603,35899.0,28.0,40.492792,-79.863087,40.491803,-79.865135,205.15106484946136
1,0,56,13635020,12604,35929.0,30.0,40.493918,-79.860825,40.492792,-79.863087,228.61324759875347
1,0,57,13635020,12605,35953.0,24.0,40.494788,-79.859041,40.493918,-79.860825,179.20964836445864
1,0,58,13635020,12606,35982.0,29.0,40.496128,-79.857172,40.494788,-79.859041,217.20585307914953
1,0,59,13635020,18362,36000.0,18.0,40.497037,-79.855976,40.496128,-79.857172,142.98219713647038
1,0,60,13635020,12608,36013.0,13.0,40.49792,-79.854793,40.497037,-79.855976,140.16573596498955
1,0,61,13635020,12610,36034.0,21.0,40.499529,-79.852853,40.49792,-79.854793,242.73003333029197
1,0,62,13635020,21361,36105.0,71.0,40.507276,-79.851597,40.499529,-79.852853,867.949214679505
1,0,63,13635020,12613,36278.0,173.0,40.527344,-79.850562,40.507276,-79.851597,2233.1774193565693
1,0,64,13635020,21681,36303.0,25.0,40.52975,-79.84967,40.527344,-79.850562,277.9545946617079
1,0,65,13635020,12616,36358.0,55.0,40.533763,-79.844916,40.52975,-79.84967,600.4514286949767
1,0,66,13635020,12617,36381.0,23.0,40.535264,-79.842571,40.533763,-79.844916,259.09552156695224
1,0,67,13635020,12618,36411.0,30.0,40.536857,-79.83926,40.535264,-79.842571,331.1610595994285
1,0,68,13635020,12619,36443.0,32.0,40.537748,-79.83478,40.536857,-79.83926,391.33758378580103
1,0,69,13635020,12782,36480.0,37.0,40.538586,-79.830208,40.537748,-79.83478,397.4360364523941
1,0,70,13635020,12784,36576.0,96.0,40.540913,-79.818825,40.538586,-79.830208,996.0950632968572
1,0,71,13635020,12785,36599.0,23.0,40.540734,-79.816466,40.540913,-79.818825,200.33128177066232
1,0,72,13635020,12786,36627.0,28.0,40.540454,-79.813517,40.540734,-79.816466,251.13448940756487
1,0,73,13635020,12787,36641.0,14.0,40.540421,-79.811831,40.540454,-79.813517,142.51832104873537
